is_Action,is_Comedy,is_Drama,is_Horror,is_Romance,is_Sci-Fi,popularity,runtime,vote_average,title,cluster
0,1,0,0,0,1,53.26133022,126.9652979,7.419076483,The Broken Day of Justice,4
0,0,0,1,0,0,37.48886424,109.6126429,6.209725456,The Broken Night of Time,2
0,0,1,0,1,1,59.24027019,91.43231515,6.767392314,The Hidden City of Time,1
1,0,1,0,1,1,48.15097864,108.5887417,6.821697806,The Lost Dream of Time,1
1,1,1,1,1,1,44.77276979,120.9903315,5.831909546,The Glorious Revenge of Secrets,3
0,0,1,1,1,0,60.49009226,113.8695052,7.49204235,The Lost World of Escape,3
1,0,0,0,0,0,42.95656309,100.8944555,6.325040243,The Hidden Revenge of Secrets,2
1,1,1,1,1,0,35.91538704,90.29594833,5.744254841,The Lost Day of Future,3
1,1,0,1,0,1,34.43370826,110.4733497,7.036509844,The Dark Hope of Escape,4
0,1,1,0,0,0,56.06009951,105.9022808,5.601532018,The Dark City of War,0
0,0,0,0,0,1,37.19570648,113.4278983,6.528181157,The Glorious Night of Fire,2
1,0,1,1,1,1,67.54794182,109.527577,6.490881003,The Last Heart of Memories,1
0,1,0,1,1,1,29.18070592,115.7432907,7.585895566,The Wild Hope of Escape,4
0,1,0,1,0,1,66.96456368,91.97147183,6.974698233,The Hidden Heart of Memories,4
0,0,1,0,1,1,52.11017467,119.760911,6.474973041,The Final Truth of Fire,1
1,1,1,1,1,1,49.03286888,102.9639941,7.317766299,The Furious World of Future,3
1,1,1,0,0,1,44.55080913,131.1289131,7.890207549,The Silent Hope of Future,0
1,1,1,1,1,1,53.99136114,89.66218273,7.057810306,The Furious Dream of Justice,3
1,0,1,0,1,1,49.62365298,126.039457,6.51035262,The Final Night of Fire,1
0,1,0,1,1,0,61.03301882,102.9686618,5.188163768,The Wild Dream of War,4
1,0,1,0,0,1,51.14227649,90.22872995,5.434886337,The Wild Dream of Power,1
1,0,1,1,1,0,51.50301761,92.74171249,6.194775296,The Glorious World of War,1
0,0,0,0,0,0,46.36387788,95.19479038,5.890487798,The Last Revenge of Love,2
0,0,1,0,1,1,49.43054376,106.3624892,6.313028697,The Broken Day of War,1
1,0,0,0,0,1,53.07801769,107.8425323,6.556649925,The Hidden Revenge of Secrets,2
0,0,0,0,0,1,32.89831607,91.39449994,7.029692754,The Hidden City of Future,2
0,1,0,1,0,0,36.51814578,99.63468112,6.429501222,The Silent Hope of War,4
1,1,1,0,1,0,57.43264094,132.1340554,6.986501644,The Glorious Game of War,3
0,1,1,0,0,1,51.70865438,125.9131476,6.564474415,The Dark Night of Escape,0
1,1,0,0,0,0,48.16016664,106.544855,4.524533434,The Last Night of Love,4
0,0,1,0,0,0,50.18433933,100.5700522,5.560664606,The Broken City of Power,1
1,0,0,1,0,0,53.47581705,101.8004699,6.355912444,The Lost World of Justice,2
0,0,0,1,1,1,44.6024032,109.2027696,5.290305257,The Final World of Secrets,2
0,0,0,1,0,0,42.21695275,84.65811152,7.09992873,The Silent Heart of Time,2
1,0,1,1,1,0,51.95845255,96.13935194,8.030750832,The Furious Night of Fire,3
0,0,0,0,0,0,40.21627222,74.97123889,7.718761852,The Glorious City of War,2
1,0,1,0,0,0,54.08252756,105.9883468,6.286557129,The Hidden Truth of Fire,1
1,1,1,1,0,1,32.97416396,109.7079391,7.990726137,The Lost Dream of Secrets,0
0,0,1,1,1,1,60.29155637,92.75220307,6.648667457,The Glorious Day of Fire,1
1,1,1,1,0,1,54.72597482,123.6098014,6.162914029,The Glorious City of Escape,0
1,0,1,0,0,1,52.56029734,81.61351505,5.886597336,The Final Game of Secrets,1
0,0,0,0,1,0,59.82690984,78.0343768,6.197530314,The Silent Game of Memories,1
1,0,0,0,0,1,66.65474444,103.3667773,6.111823181,The Lost Truth of Future,2
1,0,0,1,0,0,60.14370065,115.7064745,6.670416222,The Lost World of Secrets,2
0,1,1,1,0,0,31.59125769,125.2589154,6.660573981,The Lost Heart of Love,0
1,1,1,1,0,1,37.20423033,93.11673606,6.50304602,The Final Truth of Future,0
0,1,0,1,1,1,43.75181422,116.1802125,6.93693817,The Glorious Truth of Memories,4
1,0,1,0,0,0,50.2609105,99.42237296,7.690646275,The Glorious Game of Justice,1
0,1,0,0,0,1,55.1765902,97.4105905,7.449554135,The Glorious Dream of Escape,4
1,1,1,0,0,1,42.74256187,113.2548991,5.015102032,The Hidden World of Memories,0
0,0,0,1,1,0,51.86766764,109.7848432,3.946078865,The Final City of Fire,2
1,1,1,1,1,0,42.44617068,76.35411765,7.434319911,The Hidden Hope of War,3
1,0,0,1,0,0,43.88482197,122.1481052,5.133121302,The Broken Night of Escape,2
0,1,1,0,1,1,35.93338903,120.7013703,6.275234598,The Wild Heart of Justice,3
1,1,0,0,1,1,40.76766754,90.61655948,5.329886974,The Last Hope of War,4
0,0,1,0,1,1,36.48315394,105.937053,4.698019562,The Glorious Hope of Future,1
0,0,1,1,0,1,40.24126747,107.4104528,7.041462728,The Dark Night of Fire,1
0,1,0,0,0,1,60.53641797,103.9101065,7.25915516,The Glorious Night of War,4
1,0,1,0,0,1,40.50601111,91.74542269,5.923489599,The Silent Dream of Escape,1
1,0,1,1,0,0,76.32382065,89.92564948,3.908957708,The Final Hope of Power,1
1,0,0,1,0,0,54.93317901,99.61668894,5.953755552,The Furious Game of Time,2
1,1,0,0,1,1,51.84836124,117.5909353,6.891804005,The Last Game of Justice,4
1,1,0,1,1,0,41.4164222,108.1540023,5.021088431,The Hidden Night of Time,4
1,0,1,1,1,0,57.00309879,94.44078502,6.68335992,The Furious Game of Future,1
0,1,0,0,0,0,44.24362174,111.5754807,6.484690151,The Furious Truth of Future,4
0,0,1,1,0,1,51.22009815,57.27186069,7.0792915,The Dark Truth of Justice,1
1,1,1,0,1,1,75.60084538,117.2314855,6.619580368,The Wild City of War,0
0,0,1,1,1,1,49.039401,73.90429332,5.526931059,The Furious World of Justice,1
1,1,0,1,1,0,61.49273326,94.56338588,7.696571502,The Furious Game of Justice,3
0,0,0,1,1,1,42.96823575,83.20495158,6.341470427,The Last Heart of Secrets,2
1,1,1,0,1,0,49.6501151,80.57977786,6.47269546,The Dark Game of Memories,3
0,1,0,1,0,1,67.70800636,117.4124018,5.566732041,The Silent Hope of Love,4
0,1,1,1,1,1,43.73032942,92.98448198,6.056717749,The Broken Heart of War,3
0,0,0,1,0,1,68.12448558,105.1975582,5.615197286,The Dark Truth of Power,2
1,0,0,1,0,1,57.07751935,99.29619132,6.32705394,The Silent Heart of Justice,2
1,1,1,1,0,0,44.37533224,107.1556124,8.21170848,The Dark Game of Secrets,3
1,1,0,0,1,0,56.32407739,101.1523284,5.128098857,The Last Revenge of Justice,4
1,0,1,0,1,0,59.7255445,80.75511664,4.886438602,The Broken Hope of Love,1
0,1,0,1,0,1,56.21809962,114.9440023,7.971170327,The Lost World of Future,4
0,1,0,1,0,1,34.2977528,92.59365125,6.290676323,The Wild Night of Fire,4
1,1,0,1,0,1,42.72862824,76.65127152,5.830927261,The Glorious Hope of Love,4
0,1,0,0,1,0,47.52481364,93.57827259,7.539904687,The Broken Night of Future,4
0,1,0,0,0,1,49.25566571,122.5113969,5.89438446,The Final Dream of Love,4
0,1,0,0,0,1,56.20672098,112.7533261,8.326009714,The Glorious Night of Justice,4
0,0,1,0,1,1,51.77701001,94.77021798,7.177925871,The Lost Revenge of Memories,1
0,1,0,1,1,0,36.64655641,94.76113444,6.012088592,The Lost City of Escape,4
1,1,1,1,1,0,53.80197851,95.17547423,8.657308213,The Final City of Love,3
1,0,1,0,0,1,56.10585745,131.1512198,5.894285077,The Broken City of Justice,1
1,1,0,1,0,0,55.59790448,105.7290318,7.242095372,The Dark Night of Secrets,4
0,1,1,0,0,1,60.80780726,106.4506247,6.79929258,The Furious Revenge of Memories,0
0,1,0,1,0,1,58.33922155,115.4542518,7.801741289,The Final Day of Time,4
0,1,1,0,0,1,54.59180079,103.5818374,8.061511197,The Glorious Heart of War,0
0,1,0,1,1,1,49.29834289,96.11436781,6.532004149,The Glorious City of Love,4
1,1,1,0,0,0,33.39039066,97.05475226,5.74658213,The Dark City of Future,3
1,1,1,1,0,0,54.29618219,98.92598111,6.959972143,The Wild Truth of Future,3
1,0,0,1,0,1,52.07687687,99.44166645,5.82228463,The Final Game of Love,2
0,1,1,1,1,0,52.71578837,110.9144432,8.513387248,The Silent Revenge of Secrets,3
1,1,1,0,1,0,37.23251424,100.7791883,6.636535331,The Final Night of Future,3
1,0,0,1,0,1,39.1894346,110.9896012,6.134678449,The Dark City of Future,2
1,1,0,0,1,1,60.53152853,98.7892513,6.684680306,The Hidden City of Time,4
0,1,1,1,0,0,49.60444846,101.1795279,5.15287371,The Furious Night of Time,0
0,1,1,1,0,1,56.81500697,70.02698973,5.528385961,The Last Heart of Secrets,0
1,1,1,0,0,1,50.28318376,113.7449151,7.700413908,The Last World of Time,0
0,0,1,1,0,1,50.29756139,105.1973271,5.843105721,The Last Truth of Time,1
0,1,0,1,0,0,59.38283806,114.9701516,5.453089017,The Silent City of Escape,4
0,1,0,0,1,1,44.83955272,56.55616933,7.036652753,The Broken Hope of Time,2
0,0,1,1,1,1,50.96120777,131.3256206,7.685704155,The Final Night of Time,3
